id,objeto,entidade_adj,adjudicataria,adj_nif,tipo_contrato,tipo_proc,preco,preco_efetivo,data_pub,data_contrato,cpv,distrito,ano,ajuste_direto,score_risco,nivel_risco,flags,fonte_ano,atualizado
38169,EAD20240049 - AQUISIÇÃO DE ANTI - HEMORRÁGICOS - NONACOG,"511228848 - Serviço de Saúde da Região Autónoma da Madeira,EPE","500162166 - Laboratório Pfizer, Lda.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,759942.0,246981.15,2024-05-28,2024-05-27,33690000-3 - Medicamentos vários,Região Autónoma da Madeira,2024,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (759,942€)"", ""desvio preço 68%"", ""adjudicações repetidas (279x)""]",2024,2026-04-02T01:33:31.563332
73635,Serviços de higiene e limpeza - Região Centro,"501442600 - Instituto do Emprego e da Formação Profissional, I. P.","509418627 - Fine Facility Services, Lda",,Aquisição de serviços,Ajuste Direto Regime Geral,572975.99,86273.05,2024-10-15,2024-10-15,90910000-9 - Serviços de limpeza,"Castelo Branco
Portugal
Portugal",2024,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (572,976€)"", ""desvio preço 85%"", ""adjudicações repetidas (274x)""]",2024,2026-04-02T01:33:37.110928
130338,"Fornecimento de Trastuzumab Emtansina ao Hospital de Santo Espírito da Ilha Terceira, EPER.","512105030 - HOSPITAL DE SANTO ESPÍRITO DA ILHA TERCEIRA, EPER","500233810 - ROCHE FARMACÊUTICA QUIMICA, LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,730649.7,171101.3,2024-03-27,2024-03-23,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2024,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (730,650€)"", ""desvio preço 77%"", ""adjudicações repetidas (1057x)""]",2024,2026-04-02T01:33:47.446651
131130,"Fornecimento de Pertuzumab e Trastuzumab ao Hospital de Santo Espírito da Ilha Terceira, EPER.","512105030 - Hospital de Santo Espírito da Ilha Terceira, E. P. E. R.","500233810 - ROCHE FARMACÊUTICA QUIMICA, LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,581846.4,290923.2,2024-03-27,2024-03-22,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2024,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (581,846€)"", ""desvio preço 50%"", ""adjudicações repetidas (1057x)""]",2024,2026-04-02T01:33:47.627434
145823,"Aquisição de serviços de cantinas escolares para os estabelecimentos de ensino de Educação Pré-Escolar (EPE) e 1.º Ciclo do Ensino Básico (CEB), cantinas para os trabalhadores da entidade adjudicante e serviços de vending.",501306099 - Município do Porto,500347506 - EUREST (PORTUGAL)-SOCIEDADE EUROPEIA DE RESTAURANTES LDA,,Aquisição de serviços,Ajuste Direto Regime Geral,901662.35,604525.82,2024-05-15,2024-05-03,"55523100-3 - Serviços de cantinas escolares
55511000-5 - Serviços de cantinas e outros serviços de cafetaria de clientela restrita",Porto,2024,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (901,662€)"", ""desvio preço 33%"", ""adjudicações repetidas (19x)""]",2024,2026-04-02T01:33:50.513029
165963,"Fornecimento de Nivolumab e Ipilimumab ao HSEIT, EPER","512105030 - HOSPITAL DE SANTO ESPÍRITO DA ILHA TERCEIRA, EPER",500048193 - BRISTOL-MYERS SQUIBB FARMACÊUTICA PORTUGUESA S.A.,,Aquisição de bens móveis,Ajuste Direto Regime Geral,612876.06,194053.52,2024-07-24,2024-04-22,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",,2024,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (612,876€)"", ""desvio preço 68%"", ""adjudicações repetidas (135x)""]",2024,2026-04-02T01:33:54.844492
230138,MEDICAMENTOS EXCLUSIVOS - LABORATÓRIOS PFIZER,"510103448 - Centro Hospitalar e Universitário de Coimbra, E. P. E.","500162166 - Laboratórios Pfizer, Lda",,Aquisição de bens móveis,Ajuste Direto Regime Geral,539827.31,341553.79,2022-02-09,2022-02-01,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (539,827€)"", ""desvio preço 37%"", ""adjudicações repetidas (245x)""]",2022,2026-04-02T01:34:09.665620
231914,"Aquisição de Reagentes para PCR com colocação de equipamentos para ULSNA, EPE","508094461 - Unidade Local de Saúde do Norte Alentejano, E. P. E.",502380543 - Bioportugal,,Aquisição de bens móveis,Ajuste Direto Regime Geral,660000.0,266200.0,2022-02-15,2022-02-03,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Portalegre,2022,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (660,000€)"", ""desvio preço 60%"", ""adjudicações repetidas (284x)""]",2022,2026-04-02T01:34:10.149169
262343,Serviço de realização de testes rápidos de antigénio na área da Educação,600086020 - Direção-Geral dos Estabelecimentos Escolares,"508720311 - Centro Medicina Laboratorial Germano de Sousa,SA",,Aquisição de serviços,Ajuste Direto Regime Geral,685700.0,474880.0,2022-06-15,2022-01-20,85145000-7 - Serviços prestados por laboratórios médicos,Viana do Castelo,2022,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (685,700€)"", ""desvio preço 31%"", ""adjudicações repetidas (23x)""]",2022,2026-04-02T01:34:17.569043
290265,Aquisição de Seguro de Responsabilidade Civil para os Contabilistas Certificados,503692310 - Ordem dos Contabilistas Certificados,"502358416 - Verlingue - Corretor de Seguros, SA",,Aquisição de serviços,Ajuste Direto Regime Geral,730000.0,1459999.92,2022-11-04,2022-03-17,66516000-0 - Serviços de seguros de responsabilidade civil,,2022,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (730,000€)"", ""desvio preço 100%"", ""adjudicações repetidas (16x)""]",2022,2026-04-02T01:34:24.655575
296977,"Fornecimento de Energia Elétrica a Instalações do Município de Lisboa, em média tensão (MT)",500051070 - Município de Lisboa,502124083 - Iberdrola Clientes Portugal Unipessoal,,Aquisição de serviços,Ajuste Direto Regime Geral,1176050.66,527919.13,2022-12-06,2022-11-30,65310000-9 - Distribuição de electricidade,Lisboa,2022,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (1,176,051€)"", ""desvio preço 55%"", ""adjudicações repetidas (113x)""]",2022,2026-04-02T01:34:26.189203
302572,Fornecimento de Energia em Baixa Tensão Normal,502834846 - Município do Montijo,"500697370 - Petrogal, S.A.",,Aquisição de serviços,Ajuste Direto Regime Geral,696000.0,1028718.24,2022-12-28,2022-12-27,71314100-3 - Serviços de electricidade,Setúbal,2022,1,68.0,alto,"[""ajuste direto"", ""valor muito elevado (696,000€)"", ""desvio preço 48%"", ""adjudicações repetidas (729x)""]",2022,2026-04-02T01:34:27.947092
